image,image_sha256,label_sha256,theta,alpha,C5_mean,C5_std,C5_max,R5_mean,R5_std,R5_max,C9_mean,C9_std,C9_max,R9_mean,R9_std,R9_max,C13_mean,C13_std,C13_max,R13_mean,R13_std,R13_max,fused_R_mean,fused_R_std,fused_R_max,alpha_times_R_mean,alpha_times_R_std,alpha_times_R_max,Y_native_mean,Y_native_std,Y_native_max,residual_ratio
sample_001358410bb49e779de0__degrade.jpg,af282e096bef0e967fb6d9a3deba6243935d6d9033f42ab589137c2a92beebc3,e52e3bd324b08316cec1776d21ac83035d78a6573fd41fec4de28ac672d116f3,0.3700000047683716,0.035399168729782104,1.2190797328948975,0.5606317520141602,4.187641620635986,0.14685654640197754,0.4618097245693207,3.4367799758911133,1.6918340921401978,0.6169877648353577,4.236751556396484,0.12789933383464813,0.46270471811294556,3.409144401550293,1.967848300933838,0.6230979561805725,4.1753830909729,0.20112746953964233,0.5533770322799683,3.0062873363494873,-0.012205103412270546,0.29739516973495483,1.1419105529785156,-0.00043205052497796714,0.010527541860938072,0.04042268544435501,0.04704435542225838,0.7128803133964539,5.270408630371094,0.014747967943549156
sample_0022bb57d72b77e5ba30__geo.jpg,02e7781c70c8fed55d3807ce931fc967e2fbb7049b597bca7d1e21c75de85123,6c4f8bc687f903fc4cbd115c3045257152b07349c5e2ade90bb5baff782cbc5d,0.3700000047683716,0.035399168729782104,1.1841965913772583,0.5400913953781128,4.7351298332214355,0.1445246785879135,0.45505037903785706,3.650827646255493,1.631356120109558,0.595805823802948,4.956904888153076,0.12116219848394394,0.4618399441242218,3.575852394104004,1.8935619592666626,0.6077606678009033,5.040158271789551,0.20813541114330292,0.5847079753875732,3.733943462371826,-0.012811603024601936,0.2999173700809479,1.1558374166488647,-0.0004535201587714255,0.010616824962198734,0.040915682911872864,0.03641876205801964,0.6959148645401001,5.907876491546631,0.015248971991240978
sample_003dd7083c089e492e70__light.jpg,2efbfe876cdcaed1570ad05dba446f6067150e65fdf05ec28057f204949a90d7,99a7842ec7859098012cd7b62ecb8d6d4dc0c0c449c791dfb3b4baefc6e064b7,0.3700000047683716,0.035399168729782104,1.2551190853118896,0.5762649178504944,4.917889595031738,0.14501680433750153,0.45604249835014343,4.566357135772705,1.7383532524108887,0.629091739654541,4.798856735229492,0.13503026962280273,0.48139721155166626,3.548038959503174,2.0295464992523193,0.646720290184021,4.8723602294921875,0.21971434354782104,0.5973997712135315,3.5007097721099854,-0.014565463177859783,0.30460986495018005,1.0974745750427246,-0.0005156052648089826,0.010782935656607151,0.038849689066410065,0.036908965557813644,0.6978675723075867,6.016057014465332,0.015447327867150307
sample_0045b97d4cf5059205e4__compound.jpg,0e366fda6ad6d9f003209402ab1faf569db98cf4371cf31a3deb374737b26801,5b8ccf1e2b52358e45dd4043562da30d23603395c487344279d43ad50e80faaf,0.3700000047683716,0.035399168729782104,1.1044220924377441,0.5455100536346436,4.582146167755127,0.12554404139518738,0.40952855348587036,3.5884575843811035,1.552351951599121,0.6150880455970764,4.6028032302856445,0.11185833066701889,0.44042158126831055,3.4613053798675537,1.821242332458496,0.6354501843452454,4.504434108734131,0.2076091766357422,0.5896158218383789,3.4965195655822754,-0.01510822493582964,0.28900274634361267,1.059320330619812,-0.0005348186241462827,0.010230456478893757,0.03749905899167061,0.03462570905685425,0.6970160603523254,4.9360198974609375,0.014679446816444397
sample_005874f4668370e838ef__compound.jpg,68d7a7cf1226b35f30e86543876bdf1c35dba70528b2e9a43211c53d09d54215,9707d1cb8c8dceeb9aec57492738ab7038a235719a641c2bf6fd4c7855f13830,0.3700000047683716,0.035399168729782104,1.1461647748947144,0.5533214211463928,4.797316074371338,0.13461503386497498,0.4344334006309509,4.320998191833496,1.5939480066299438,0.609790027141571,5.058840274810791,0.11911182105541229,0.4558826684951782,3.427729606628418,1.8667566776275635,0.6275920867919922,5.109401226043701,0.2012987732887268,0.5661309957504272,4.112034797668457,-0.01345391571521759,0.2941861152648926,1.1051394939422607,-0.0004762574681080878,0.01041394378989935,0.03912102058529854,0.04941330850124359,0.720491886138916,5.651039123535156,0.014435135759413242
sample_007d10fb072c8d7b969a__degrade.jpg,3ae14292a206eb84e12f931134478d90576fdd031acf173691ea4aae2200f22c,5a2468ea6f4770650202016f8683f13b3d5849822b2540fcf9e6ac8ad4846241,0.3700000047683716,0.035399168729782104,1.100172758102417,0.5501700639724731,4.008472442626953,0.1259807050228119,0.4073095917701721,3.3628244400024414,1.5406756401062012,0.6055354475975037,4.205975532531738,0.11074758321046829,0.4361734688282013,3.508464813232422,1.8043944835662842,0.6075149178504944,4.228313446044922,0.1854228526353836,0.5356788039207458,3.3048691749572754,-0.014419040642678738,0.27504679560661316,1.1252624988555908,-0.0005104219890199602,0.009736428037285805,0.03983335569500923,0.03996192291378975,0.6912022829055786,4.973779678344727,0.014082049950957298
sample_007d10fb072c8d7b969a__orig.jpg,e43aa0629fb0dafcd63c0ec2ae18af2c0eaa1e8ca07383ebcb5d354055fbcd64,5a2468ea6f4770650202016f8683f13b3d5849822b2540fcf9e6ac8ad4846241,0.3700000047683716,0.035399168729782104,1.135102391242981,0.5581632256507874,4.297612190246582,0.13245657086372375,0.4220411777496338,3.6897008419036865,1.5879156589508057,0.6152034997940063,4.437826156616211,0.11872071772813797,0.4520229995250702,3.512392997741699,1.8568025827407837,0.6214514970779419,4.45283317565918,0.1914369910955429,0.5441496968269348,3.4815118312835693,-0.01342157181352377,0.2818365693092346,1.1434992551803589,-0.0004751124943140894,0.009976780042052269,0.04047892242670059,0.03838087245821953,0.689112663269043,5.211089134216309,0.014471696689724922
sample_0085e95679472200c289__degrade.jpg,9bc4cc972f4fce50e09b87ee676db4ceecfabb582db79ee794ee0bbf488d953b,a07837ea458a574fae2774f1c7375bb226bb63287ac1c20c33ef7a10303cc972,0.3700000047683716,0.035399168729782104,1.2209452390670776,0.5597535967826843,4.290472030639648,0.14666877686977386,0.460898756980896,4.662880897521973,1.6811822652816772,0.6062147617340088,4.549890518188477,0.12405543774366379,0.4499432146549225,3.469106674194336,1.9548591375350952,0.612754762172699,4.344006061553955,0.20782199501991272,0.5660308003425598,4.0772294998168945,-0.015812931582331657,0.2967269718647003,1.0987441539764404,-0.0005597645649686456,0.010503888130187988,0.03889463096857071,0.056698087602853775,0.7108250856399536,5.008356094360352,0.01475115492939949
sample_00cee788e069ee098ac6__geo.jpg,894f7739274192ce8824cfe0df37e2f956d46b5c8865dfdcf2e6ce9e5d5e5532,31d62c8575713d2d8807f9dcd6b059b31fc5f1e4303cfe0cb046f62e682efa24,0.3700000047683716,0.035399168729782104,1.2290147542953491,0.548628032207489,3.8508541584014893,0.14353720843791962,0.4484577476978302,4.303389072418213,1.677563190460205,0.5861719846725464,4.161632537841797,0.12676522135734558,0.4606492221355438,3.6100475788116455,1.941939353942871,0.5852807760238647,4.302374839782715,0.20004916191101074,0.5434215068817139,3.1486034393310547,-0.014971308410167694,0.29050499200820923,1.02668035030365,-0.000529971846845001,0.0102836349979043,0.03634363040328026,0.037873685359954834,0.691463828086853,5.1978068351745605,0.01486971601843834
sample_01103e6ae21ee69485bd__orig.jpg,c4998453430d58b074e49cb00fd4dc95520067d4add84eb1cbdfafd0cb5e15cf,b8cb55456b6ca0454f34ac92e8660ac3d55d2732e00bd7f20bed4201a316b2b7,0.3700000047683716,0.035399168729782104,1.2387244701385498,0.579703152179718,4.3370795249938965,0.14582432806491852,0.45655232667922974,5.063350677490234,1.70749831199646,0.6323899626731873,4.573585033416748,0.13337041437625885,0.48070192337036133,3.356095790863037,1.9869778156280518,0.6494662761688232,4.656452178955078,0.21654430031776428,0.578333854675293,3.1054627895355225,-0.012999744154512882,0.30531588196754456,1.0666112899780273,-0.0004601801047101617,0.010807927697896957,0.03775715455412865,0.04446973651647568,0.7057762742042542,5.036257266998291,0.015297072939574718
